batch_id,supplier_id,temperature_log,humidity_log,shipment_duration_days,barcode_checksum_valid,packaging_seal_intact,expiry_date_format_valid,label_language_count,distributor_verified,price_deviation_pct,reorder_frequency,lot_number_format_valid,regulatory_approval_code,label
F00160,60,25.73623583947748,69.12803528047417,58,0.0,0.0,1.0,2,0.0,10.420612520572675,10,0.0,189,1
B00353,7,4.9012852306789805,45.351242891073966,8,1.0,1.0,1.0,4,1.0,2.944555587877124,23,1.0,3064,0
B01333,16,4.830199182755816,48.268134439934826,1,1.0,1.0,1.0,2,1.0,-8.801312502900045,42,1.0,3185,0
B00905,6,5.08386291102561,45.830545719689425,5,1.0,1.0,1.0,4,1.0,1.1005693665072616,27,1.0,9707,0
B01289,2,5.253540629379774,36.882333078007974,4,1.0,1.0,1.0,4,1.0,1.685436463668405,24,1.0,4870,0
B01273,3,4.686058392779105,48.31549623370086,8,1.0,1.0,1.0,2,1.0,-10.459320472754337,14,1.0,1460,0
B00938,14,4.670863278399341,41.815702065356966,3,1.0,1.0,1.0,2,1.0,-0.7014151667868416,36,1.0,5726,0
F00031,42,20.511744277478815,94.62305221891754,5,1.0,0.0,1.0,1,0.0,-10.952871976020703,5,1.0,438,1
B00065,13,5.657201212384736,52.78000285919602,5,1.0,1.0,1.0,3,1.0,4.680512175984755,13,1.0,3394,0
B01323,2,4.833414167584537,41.644281966184394,3,1.0,1.0,1.0,3,1.0,3.9093992130206097,34,1.0,2836,0
B00056,10,5.261209306641282,37.87203342260948,5,1.0,1.0,1.0,4,1.0,-3.647815078688081,46,1.0,3562,0
B01292,3,4.748289473336585,46.45370548475589,4,1.0,1.0,1.0,4,1.0,4.548916725505814,49,1.0,1361,0
B01118,19,5.71012846622098,48.40592825062057,7,1.0,1.0,1.0,4,1.0,-5.276931106708669,41,1.0,8386,0
B00584,1,5.171306199106945,38.13000226288347,2,1.0,1.0,1.0,3,1.0,7.874743496538193,48,1.0,7167,0
B00374,5,5.605369769469543,44.019965832641546,7,1.0,1.0,1.0,3,1.0,3.2691661153118954,37,1.0,2549,0
B00275,17,4.9347424600515035,41.87681678662943,6,1.0,1.0,1.0,2,1.0,0.08060448730327247,19,1.0,4600,0
B00746,13,5.288419083937296,49.99211411561087,5,1.0,1.0,1.0,3,1.0,-4.381968717373794,41,1.0,2445,0
B00128,19,4.32731577388225,53.350812936744624,6,1.0,1.0,1.0,4,1.0,-0.45947812707844105,38,1.0,8741,0
B01646,2,4.589939139951896,49.407924921942815,9,1.0,1.0,1.0,2,1.0,-8.248064647168068,43,1.0,4088,0
F00152,71,17.90412047323141,98.26646526857951,58,0.0,0.0,0.0,1,0.0,-34.42674349390293,4,0.0,457,1
B00674,18,5.41466241196408,50.693673871368034,2,1.0,1.0,1.0,2,1.0,-5.436303421371761,13,1.0,1370,0
B01664,7,4.292512064061976,44.097541705051306,4,1.0,1.0,1.0,3,1.0,1.5306559450249777,22,1.0,8592,0
F00281,61,8.938565505939847,56.754353665046764,25,0.0,0.0,1.0,2,0.0,-49.63532122484907,14,0.0,277,1
B01083,17,5.208631723929093,48.41048113799947,3,1.0,1.0,1.0,2,1.0,2.7316585300087555,15,1.0,6207,0
F00222,26,9.598144324764302,71.553010760556,51,0.0,0.0,0.0,1,0.0,-18.042069265333488,2,1.0,332,1
B00099,8,5.072125011408695,49.40799872989104,1,1.0,1.0,1.0,2,1.0,-7.8024907893717845,28,1.0,7716,0
B01179,16,5.15590709173863,35.613879465973525,6,1.0,1.0,1.0,3,1.0,7.474114499461634,23,1.0,3808,0
B00964,11,5.069149344892905,49.50775628287382,8,1.0,1.0,1.0,2,1.0,0.6235345151523249,17,1.0,9182,0
B00792,11,4.569969572438462,45.77241997859531,8,1.0,1.0,1.0,4,1.0,3.1508979618255673,10,1.0,2436,0
B00029,9,4.883800446749764,42.3366951374562,5,1.0,1.0,1.0,2,1.0,2.4234538980920424,15,1.0,4743,0
B00628,7,4.595929072796365,48.56609910197993,8,1.0,1.0,1.0,3,1.0,-0.05457840536724577,24,1.0,7485,0
B00944,15,4.99824600399573,45.046132170721634,7,1.0,1.0,1.0,4,1.0,-5.712976347436315,26,1.0,3407,0
B00572,1,4.841213400588131,49.20419379683328,1,1.0,1.0,1.0,2,1.0,12.537476189294168,13,1.0,7724,0
B00907,8,5.2137279624975585,50.60557439974559,5,1.0,1.0,1.0,4,1.0,-0.49168171096249497,31,1.0,7383,0
B01080,9,4.87954437745319,51.135758370613964,3,1.0,1.0,1.0,2,1.0,5.071274285576287,30,1.0,7969,0
B00450,12,4.924582189696722,52.79360606421719,5,1.0,1.0,1.0,4,1.0,-13.927029363628405,42,1.0,8141,0
B01609,5,4.756821553225094,46.5986695723694,6,1.0,1.0,1.0,2,1.0,7.682670781590848,41,1.0,4742,0
B01290,11,5.298865854056812,45.59648352511009,3,1.0,1.0,1.0,4,1.0,-6.672270405764581,15,1.0,2326,0
B01078,10,4.63546041844865,33.175487873046926,5,1.0,1.0,1.0,4,1.0,-5.657028050675187,12,1.0,4457,0
B00254,6,4.805201696570604,47.49705534597301,9,1.0,1.0,1.0,3,1.0,4.954790935178307,21,1.0,5925,0
B00124,11,5.619274977455967,40.971973007868705,2,1.0,1.0,1.0,4,1.0,1.0225800140561296,16,1.0,2505,0
F00227,20,15.989267397639276,61.623760512088026,16,0.0,1.0,0.0,2,0.0,-14.760908431726143,10,1.0,297,1
B00251,19,4.3459757392207905,45.102465064630124,6,1.0,1.0,1.0,3,1.0,-0.22750927690143263,14,1.0,7333,0
B00585,16,5.11003481648336,43.654986120584454,9,1.0,1.0,1.0,4,1.0,3.794004669878845,28,1.0,7364,0
B01568,4,5.086092046120078,39.666719334710955,9,1.0,1.0,1.0,2,1.0,-6.4836634871001975,15,1.0,3945,0
B00824,3,4.738227809356571,47.5235618282528,7,1.0,1.0,1.0,4,1.0,2.830934682105282,49,1.0,1425,0
B00507,3,4.539064514198369,45.93243976983475,2,1.0,1.0,1.0,2,1.0,6.236926459873315,26,1.0,8349,0
B00889,8,5.128880441430056,50.535321180325674,1,1.0,1.0,1.0,3,1.0,3.9406090234673123,25,1.0,1049,0
B00070,15,4.58868929225545,46.010104684950036,2,1.0,1.0,1.0,2,1.0,-0.8165397750075345,33,1.0,6152,0
B01608,5,5.0787239624803835,48.36179604441751,8,1.0,1.0,1.0,3,1.0,-3.759387627937538,19,1.0,1307,0
B01532,12,5.648710710644852,43.47926232156099,6,1.0,1.0,1.0,3,1.0,-3.3265775546704357,29,1.0,2101,0
B00247,17,5.5380916606651605,44.32445366404581,5,1.0,1.0,1.0,3,1.0,6.047472468223896,15,1.0,2607,0
B01450,14,5.532057091667356,40.0372219311806,2,1.0,1.0,1.0,3,1.0,4.870616846479652,38,1.0,9709,0
B00212,5,5.819744329708751,45.379602671297434,5,1.0,1.0,1.0,3,1.0,-2.424772133991314,20,1.0,3556,0
B00909,14,4.837887590500855,42.501623375260095,9,1.0,1.0,1.0,2,1.0,2.945120849628583,30,1.0,7833,0
F00041,54,20.34661560146321,51.2709096186846,9,0.0,0.0,0.0,2,0.0,-41.255971281754505,1,0.0,228,1
B01244,4,4.7484597304476726,50.846970368481294,3,1.0,1.0,1.0,2,1.0,-0.3181320190980146,41,1.0,2647,0
